Citation,Parent.Statute,Document.Description,File,Entity.Empowered,Triggering.Event,Describe.Health.Emergency,State.Trigger,Location,Military.Involvement..Federal.,Document.Type,Preliminary.Screening,Source,Chapter,Date.Originally.Published..from.File.,Date.Last.Updated..from.File.,PDF..from.File.,Note,url..from.File.,Funding.Stream.,Funding.Stream.Description,Waiver.Authority,Regulations..Relevant.Chapter..Section.or.Article,Scenarios.Matrix,Plans...Strategies
"42 U.S.C. 3149, 5121, 5122, 5133, 5149, 5152, 5154, 5155, 5165, 5165b, 5170, 5170a, 5170b, 5170c, 5172, 5174, 5187, 5189a, 5189f, 5189g, 5191 and 5205",Disaster Recovery Reform Act of 2018,This act established the Building Resilient Infrastructure and Communities disaster mitigation program. It authorized FEMA to provide grants to states/local governments for housing programs after major disasters.,Disaster Recovery Reform Act (DRRA),Department of Housing and Urban Development,,,,,,Legislation,,FEMA DOLR,5,6/11/18,,BILLS-115s3041is (https://v5.airtableusercontent.com/v3/u/32/32/1725645600000/ojisoGrt94tQ9_HNt-5EXA/LmHQ8wWdObnhU0B1tylSOIeUf25lkGBWSEJiRp7cK-EPQ__VotVmPMDXbrXyU31kIu_y2ylRSSrb4vNjGSZuoylQyBFn7Te9lFISY-HMnVosKd7IZUme_1MkgFcx6P6M5y67Nu90IV6bfHMpzUmd4A/gxXFdWt0NxK9JE-O6amvYqklOoPERznmCqILahehucw),,,,,,,,NA
"42 U.S.C. 3149, 5121, 5122, 5133, 5149, 5152, 5154, 5155, 5165, 5165b, 5170, 5170a, 5170b, 5170c, 5172, 5174, 5187, 5189a, 5189f, 5189g, 5191 and 5205",Disaster Recovery Reform Act of 2018,This act established the Building Resilient Infrastructure and Communities disaster mitigation program. It authorized FEMA to provide grants to states/local governments for housing programs after major disasters.,Disaster Recovery Reform Act (DRRA),Environmental Protection Agency,,,,,,Legislation,,FEMA DOLR,5,6/11/18,,BILLS-115s3041is (https://v5.airtableusercontent.com/v3/u/32/32/1725645600000/ojisoGrt94tQ9_HNt-5EXA/LmHQ8wWdObnhU0B1tylSOIeUf25lkGBWSEJiRp7cK-EPQ__VotVmPMDXbrXyU31kIu_y2ylRSSrb4vNjGSZuoylQyBFn7Te9lFISY-HMnVosKd7IZUme_1MkgFcx6P6M5y67Nu90IV6bfHMpzUmd4A/gxXFdWt0NxK9JE-O6amvYqklOoPERznmCqILahehucw),,,,,,,,NA
"10 U.S.C. 2393 15 U.S.C. 636 16 U.S.C. 3501 25 U.S.C. 450b 41 U.S.C. 10a 42 U.S.C. 3149, 3796b, 4001, 4002, 5101, 5121, 5122, 5131, 5141, 5154, 5170c, 5172, 5174, 5176, 5178, 5184, 5187 and 5192",Disaster Mitigation Act of 2000,"This act amended the Stafford Act to focus on proactive disaster management measures. It mandated state, local, and tribal governments to implement hazard mitigation plans, and increased funding for planning. It also established several grant programs. ",Disaster Mitigation Act of 2000,Federal Emergency Management Agency,,,,,,Legislation,,FEMA DOLR,5,10/30/00,,PLAW-106publ390.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725645600000/DD-VdFGOBtQ9yXEhz-kV1g/dfR765dOHP7FVZg0F6TLnTG2-BWxZGDPqpsX5FGmkqlUC-xhDGwaRxsaPYgXw8gwa7IhC1goFORqUBkGJzwEaaM0DPtZ2uijN8STkmYMS4npTqFalcfyyTsm1LwJggScde1CBQ0Uml4fqJ7BHOtqiA/kseUl_l_0flOc0bo_poR6xU2c_-LztXyB-CPOFZVwDY),,"https://www.govinfo.gov/app/details/PLAW-106publ390#:~:text=An%20act%20to%20amend%20the,assistance%2C%20and%20for%20other%20purposes.",,,,,,NA
"10 U.S.C. 2393 15 U.S.C. 636 16 U.S.C. 3501 25 U.S.C. 450b 41 U.S.C. 10a 42 U.S.C. 3149, 3796b, 4001, 4002, 5101, 5121, 5122, 5131, 5141, 5154, 5170c, 5172, 5174, 5176, 5178, 5184, 5187 and 5192",Disaster Mitigation Act of 2000,"This act amended the Stafford Act to focus on proactive disaster management measures. It mandated state, local, and tribal governments to implement hazard mitigation plans, and increased funding for planning. It also established several grant programs. ",Disaster Mitigation Act of 2000,Department of Homeland Security,,,,,,Legislation,,FEMA DOLR,5,10/30/00,,PLAW-106publ390.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725645600000/DD-VdFGOBtQ9yXEhz-kV1g/dfR765dOHP7FVZg0F6TLnTG2-BWxZGDPqpsX5FGmkqlUC-xhDGwaRxsaPYgXw8gwa7IhC1goFORqUBkGJzwEaaM0DPtZ2uijN8STkmYMS4npTqFalcfyyTsm1LwJggScde1CBQ0Uml4fqJ7BHOtqiA/kseUl_l_0flOc0bo_poR6xU2c_-LztXyB-CPOFZVwDY),,"https://www.govinfo.gov/app/details/PLAW-106publ390#:~:text=An%20act%20to%20amend%20the,assistance%2C%20and%20for%20other%20purposes.",,,,,,NA
,John Warner National Defense Authorization Act (NDAA),This act authorized funding for the DOD for military construction and strengthening for active-duty personnel. It includes amendments to National Defense Authorization Acts and established new policies for defense activities. It incorporates portions of the Military Lending Act as well. ,John Warner National Defense Authorization Act (NDAA),Department of Defense,,,,,,Legislation,Include,FEMA DOLR,5,10/17/06,,PLAW-109publ364.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725645600000/ogpUvhk0jl7qL6HZO6g60w/qfHBq4mVa8kjaBgk_i2t0X8WKfN8FuRptUO-niB2bgRGgYvedSay3PkkjBWVKwGFfT-vGb8XNkgBHgEzSG774fFdq1EidGhHGctUcSjVsdDnbLpszKqZVbT7j4hFIP_x5S_Hrj9rr3zsDQr4trhSYg/VBuCmUGd1_F7R1NO-X5crDcz0mNRySNx0LhC_rlVO9E),"codified under too many parts of the USC to put in the code number section, can be found in the URL
",https://www.govinfo.gov/app/details/PLAW-109publ364,,,,,,NA
,John Warner National Defense Authorization Act (NDAA),This act authorized funding for the DOD for military construction and strengthening for active-duty personnel. It includes amendments to National Defense Authorization Acts and established new policies for defense activities. It incorporates portions of the Military Lending Act as well. ,John Warner National Defense Authorization Act (NDAA),Department of Homeland Security,,,,,,Legislation,Include,FEMA DOLR,5,10/17/06,,PLAW-109publ364.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725645600000/ogpUvhk0jl7qL6HZO6g60w/qfHBq4mVa8kjaBgk_i2t0X8WKfN8FuRptUO-niB2bgRGgYvedSay3PkkjBWVKwGFfT-vGb8XNkgBHgEzSG774fFdq1EidGhHGctUcSjVsdDnbLpszKqZVbT7j4hFIP_x5S_Hrj9rr3zsDQr4trhSYg/VBuCmUGd1_F7R1NO-X5crDcz0mNRySNx0LhC_rlVO9E),"codified under too many parts of the USC to put in the code number section, can be found in the URL
",https://www.govinfo.gov/app/details/PLAW-109publ364,,,,,,NA
,John Warner National Defense Authorization Act (NDAA),This act authorized funding for the DOD for military construction and strengthening for active-duty personnel. It includes amendments to National Defense Authorization Acts and established new policies for defense activities. It incorporates portions of the Military Lending Act as well. ,John Warner National Defense Authorization Act (NDAA),Department of Justice - Federal Bureau of Investigation,,,,,,Legislation,Include,FEMA DOLR,5,10/17/06,,PLAW-109publ364.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725645600000/ogpUvhk0jl7qL6HZO6g60w/qfHBq4mVa8kjaBgk_i2t0X8WKfN8FuRptUO-niB2bgRGgYvedSay3PkkjBWVKwGFfT-vGb8XNkgBHgEzSG774fFdq1EidGhHGctUcSjVsdDnbLpszKqZVbT7j4hFIP_x5S_Hrj9rr3zsDQr4trhSYg/VBuCmUGd1_F7R1NO-X5crDcz0mNRySNx0LhC_rlVO9E),"codified under too many parts of the USC to put in the code number section, can be found in the URL
",https://www.govinfo.gov/app/details/PLAW-109publ364,,,,,,NA
,John Warner National Defense Authorization Act (NDAA),This act authorized funding for the DOD for military construction and strengthening for active-duty personnel. It includes amendments to National Defense Authorization Acts and established new policies for defense activities. It incorporates portions of the Military Lending Act as well. ,John Warner National Defense Authorization Act (NDAA),Department of Defense - National Security Agency,,,,,,Legislation,Include,FEMA DOLR,5,10/17/06,,PLAW-109publ364.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725645600000/ogpUvhk0jl7qL6HZO6g60w/qfHBq4mVa8kjaBgk_i2t0X8WKfN8FuRptUO-niB2bgRGgYvedSay3PkkjBWVKwGFfT-vGb8XNkgBHgEzSG774fFdq1EidGhHGctUcSjVsdDnbLpszKqZVbT7j4hFIP_x5S_Hrj9rr3zsDQr4trhSYg/VBuCmUGd1_F7R1NO-X5crDcz0mNRySNx0LhC_rlVO9E),"codified under too many parts of the USC to put in the code number section, can be found in the URL
",https://www.govinfo.gov/app/details/PLAW-109publ364,,,,,,NA
,John Warner National Defense Authorization Act (NDAA),This act authorized funding for the DOD for military construction and strengthening for active-duty personnel. It includes amendments to National Defense Authorization Acts and established new policies for defense activities. It incorporates portions of the Military Lending Act as well. ,John Warner National Defense Authorization Act (NDAA),Department of Veterans Affairs,,,,,,Legislation,Include,FEMA DOLR,5,10/17/06,,PLAW-109publ364.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725645600000/ogpUvhk0jl7qL6HZO6g60w/qfHBq4mVa8kjaBgk_i2t0X8WKfN8FuRptUO-niB2bgRGgYvedSay3PkkjBWVKwGFfT-vGb8XNkgBHgEzSG774fFdq1EidGhHGctUcSjVsdDnbLpszKqZVbT7j4hFIP_x5S_Hrj9rr3zsDQr4trhSYg/VBuCmUGd1_F7R1NO-X5crDcz0mNRySNx0LhC_rlVO9E),"codified under too many parts of the USC to put in the code number section, can be found in the URL
",https://www.govinfo.gov/app/details/PLAW-109publ364,,,,,,NA
25 USC Ch. 46,Indian Self-Determination and Education Assistance Act,This act gave more autonomy to tribal governments and authorized federal agencies to enter contracts with recognized tribes. ,Indian Self Determination and Education Assistance Act,Department of the Interior - Bureau of Indian Affairs,,,,,,Legislation,Exclude,FEMA DOLR,5,1/4/75,,COMPS-10401.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725645600000/cISe32nJIM_qrrwoEEzlyA/v4Az4VMoXKnbzGej8HTmqW7kj67UyjmYmmCofY1rH1B4avpMvd2hHxYIULxtqrXoG_q_8Odpu0RUu4ej2ZlVLk16DIcZz3cLNQF2O0Pf9NdE23TD1bNpqJPkz6-pjuxx-bKkXbw8-yechQXxRp5KSw/ShOihszVXTank6V0tX9l4cIrAYC-RTOwVKFAHVD3f-U),,https://www.govinfo.gov/content/pkg/COMPS-10401/pdf/COMPS-10401.pdf,,,,,,NA
25 USC Ch. 46,Indian Self-Determination and Education Assistance Act,This act gave more autonomy to tribal governments and authorized federal agencies to enter contracts with recognized tribes. ,Indian Self Determination and Education Assistance Act,Department of Homeland Security - Homeland Security Investigations,,,,,,Legislation,Exclude,FEMA DOLR,5,1/4/75,,COMPS-10401.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725645600000/cISe32nJIM_qrrwoEEzlyA/v4Az4VMoXKnbzGej8HTmqW7kj67UyjmYmmCofY1rH1B4avpMvd2hHxYIULxtqrXoG_q_8Odpu0RUu4ej2ZlVLk16DIcZz3cLNQF2O0Pf9NdE23TD1bNpqJPkz6-pjuxx-bKkXbw8-yechQXxRp5KSw/ShOihszVXTank6V0tX9l4cIrAYC-RTOwVKFAHVD3f-U),,https://www.govinfo.gov/content/pkg/COMPS-10401/pdf/COMPS-10401.pdf,,,,,,NA
25 USC Ch. 46,Indian Self-Determination and Education Assistance Act,This act gave more autonomy to tribal governments and authorized federal agencies to enter contracts with recognized tribes. ,Indian Self Determination and Education Assistance Act,Department of the Interior,,,,,,Legislation,Exclude,FEMA DOLR,5,1/4/75,,COMPS-10401.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725645600000/cISe32nJIM_qrrwoEEzlyA/v4Az4VMoXKnbzGej8HTmqW7kj67UyjmYmmCofY1rH1B4avpMvd2hHxYIULxtqrXoG_q_8Odpu0RUu4ej2ZlVLk16DIcZz3cLNQF2O0Pf9NdE23TD1bNpqJPkz6-pjuxx-bKkXbw8-yechQXxRp5KSw/ShOihszVXTank6V0tX9l4cIrAYC-RTOwVKFAHVD3f-U),,https://www.govinfo.gov/content/pkg/COMPS-10401/pdf/COMPS-10401.pdf,,,,,,NA
25 USC Ch. 46,Indian Self-Determination and Education Assistance Act,This act gave more autonomy to tribal governments and authorized federal agencies to enter contracts with recognized tribes. ,Indian Self Determination and Education Assistance Act,Department of Human and Health Services,,,,,,Legislation,Exclude,FEMA DOLR,5,1/4/75,,COMPS-10401.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725645600000/cISe32nJIM_qrrwoEEzlyA/v4Az4VMoXKnbzGej8HTmqW7kj67UyjmYmmCofY1rH1B4avpMvd2hHxYIULxtqrXoG_q_8Odpu0RUu4ej2ZlVLk16DIcZz3cLNQF2O0Pf9NdE23TD1bNpqJPkz6-pjuxx-bKkXbw8-yechQXxRp5KSw/ShOihszVXTank6V0tX9l4cIrAYC-RTOwVKFAHVD3f-U),,https://www.govinfo.gov/content/pkg/COMPS-10401/pdf/COMPS-10401.pdf,,,,,,NA
15 U.S.C. § 2201-2229,Fire Prevention and Control Act,"The US Forest Service, EPA, and local fire departments are main stakeholders in this act that focuses on wildfire prevention and response, including managing fire-prone areas.",Fire Prevention and Control Act,Federal Emergency Management Agency,Natural Disaster,N/A,No,Domestic,No,Legislation,Exclude,FEMA DOLR,4,10/29/74,12/27/22,COMPS-1847.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725645600000/Y0ogzwG8aD0QgnsdPx9JKg/VMeIeUn9FbibllsTfs62sraKPJxtxRwyv4NqFhwankn8c66o_O1Tu7mihUU4FZ9ICAEjmKKpaMiCo9uq-TazH967UrOGNy8DAD3h5JUo52mad4le41R4N01nyHsBw_DffVR0tOhZxBzB1zBhWepIgWRwcwejlNcit9RxNIT9ZFE/lBimSwuoD7-Bnt8mkLKf7gzPByNnJ74mTMlUfNwR1nw),,https://www.govinfo.gov/content/pkg/COMPS-1847/pdf/COMPS-1847.pdf,,,,,,NA
15 U.S.C. § 2201-2229,Fire Prevention and Control Act,"The US Forest Service, EPA, and local fire departments are main stakeholders in this act that focuses on wildfire prevention and response, including managing fire-prone areas.",Fire Prevention and Control Act,Department of Labor - Occupational Safety and Health Administration,Natural Disaster,N/A,No,Domestic,No,Legislation,Exclude,FEMA DOLR,4,10/29/74,12/27/22,COMPS-1847.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725645600000/Y0ogzwG8aD0QgnsdPx9JKg/VMeIeUn9FbibllsTfs62sraKPJxtxRwyv4NqFhwankn8c66o_O1Tu7mihUU4FZ9ICAEjmKKpaMiCo9uq-TazH967UrOGNy8DAD3h5JUo52mad4le41R4N01nyHsBw_DffVR0tOhZxBzB1zBhWepIgWRwcwejlNcit9RxNIT9ZFE/lBimSwuoD7-Bnt8mkLKf7gzPByNnJ74mTMlUfNwR1nw),,https://www.govinfo.gov/content/pkg/COMPS-1847/pdf/COMPS-1847.pdf,,,,,,NA
15 U.S.C. § 2201-2229,Fire Prevention and Control Act,"The US Forest Service, EPA, and local fire departments are main stakeholders in this act that focuses on wildfire prevention and response, including managing fire-prone areas.",Fire Prevention and Control Act,Environmental Protection Agency,Natural Disaster,N/A,No,Domestic,No,Legislation,Exclude,FEMA DOLR,4,10/29/74,12/27/22,COMPS-1847.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725645600000/Y0ogzwG8aD0QgnsdPx9JKg/VMeIeUn9FbibllsTfs62sraKPJxtxRwyv4NqFhwankn8c66o_O1Tu7mihUU4FZ9ICAEjmKKpaMiCo9uq-TazH967UrOGNy8DAD3h5JUo52mad4le41R4N01nyHsBw_DffVR0tOhZxBzB1zBhWepIgWRwcwejlNcit9RxNIT9ZFE/lBimSwuoD7-Bnt8mkLKf7gzPByNnJ74mTMlUfNwR1nw),,https://www.govinfo.gov/content/pkg/COMPS-1847/pdf/COMPS-1847.pdf,,,,,,NA
42 U.S.C. § 7701-7706,Earthquake Hazards Reduction Act,"This act aims to reduce the risk associated with earthquakes in the US, and mobilizes the USGS, FEMA, and NSA to establish mitigation efforts.",Earthquake Hazards Reduction Act,Federal Emergency Management Agency,Natural Disaster,N/A,No,Domestic,No,Legislation,Exclude,FEMA DOLR,4,10/7/77,12/27/22,COMPS-1843.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725645600000/zinZPt4mNokB9xQivUGGQA/UDdafUYHdwaguN51rZmLXWKO81B3QMzpLhOgKBwb9tC80KkiOyMxYD_1vkXcWMMqjNPpFWTijx9BLdWzLADo2-NFy7zPLjfV3Xbcxu3xNoUkgGy3hyOmjQ4BxPLhIcR2ZFQkNOuidII5-u_qZDeA_LUy-YOdd5q_czVahyYbeUo/ZYrfEyKBFIpdSnlZsL-3SUGA-tjYlwR_6rSvvPBheiQ),,https://drive.google.com/file/d/1zGh4zbjF7aaHT-o-EQQUEM7p7VHLCP3M/view,,,,,,NA
42 U.S.C. § 7701-7706,Earthquake Hazards Reduction Act,"This act aims to reduce the risk associated with earthquakes in the US, and mobilizes the USGS, FEMA, and NSA to establish mitigation efforts.",Earthquake Hazards Reduction Act,Department of the Interior - U.S. Geological Survey,Natural Disaster,N/A,No,Domestic,No,Legislation,Exclude,FEMA DOLR,4,10/7/77,12/27/22,COMPS-1843.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725645600000/zinZPt4mNokB9xQivUGGQA/UDdafUYHdwaguN51rZmLXWKO81B3QMzpLhOgKBwb9tC80KkiOyMxYD_1vkXcWMMqjNPpFWTijx9BLdWzLADo2-NFy7zPLjfV3Xbcxu3xNoUkgGy3hyOmjQ4BxPLhIcR2ZFQkNOuidII5-u_qZDeA_LUy-YOdd5q_czVahyYbeUo/ZYrfEyKBFIpdSnlZsL-3SUGA-tjYlwR_6rSvvPBheiQ),,https://drive.google.com/file/d/1zGh4zbjF7aaHT-o-EQQUEM7p7VHLCP3M/view,,,,,,NA
42 U.S.C. § 7701-7706,Earthquake Hazards Reduction Act,"This act aims to reduce the risk associated with earthquakes in the US, and mobilizes the USGS, FEMA, and NSA to establish mitigation efforts.",Earthquake Hazards Reduction Act,National Science Foundation,Natural Disaster,N/A,No,Domestic,No,Legislation,Exclude,FEMA DOLR,4,10/7/77,12/27/22,COMPS-1843.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725645600000/zinZPt4mNokB9xQivUGGQA/UDdafUYHdwaguN51rZmLXWKO81B3QMzpLhOgKBwb9tC80KkiOyMxYD_1vkXcWMMqjNPpFWTijx9BLdWzLADo2-NFy7zPLjfV3Xbcxu3xNoUkgGy3hyOmjQ4BxPLhIcR2ZFQkNOuidII5-u_qZDeA_LUy-YOdd5q_czVahyYbeUo/ZYrfEyKBFIpdSnlZsL-3SUGA-tjYlwR_6rSvvPBheiQ),,https://drive.google.com/file/d/1zGh4zbjF7aaHT-o-EQQUEM7p7VHLCP3M/view,,,,,,NA
42 U.S.C. § 7701-7706,Earthquake Hazards Reduction Act,"This act aims to reduce the risk associated with earthquakes in the US, and mobilizes the USGS, FEMA, and NSA to establish mitigation efforts.",Earthquake Hazards Reduction Act,Department of Commerce - National Oceanic and Atmospheric Administration,Natural Disaster,N/A,No,Domestic,No,Legislation,Exclude,FEMA DOLR,4,10/7/77,12/27/22,COMPS-1843.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725645600000/zinZPt4mNokB9xQivUGGQA/UDdafUYHdwaguN51rZmLXWKO81B3QMzpLhOgKBwb9tC80KkiOyMxYD_1vkXcWMMqjNPpFWTijx9BLdWzLADo2-NFy7zPLjfV3Xbcxu3xNoUkgGy3hyOmjQ4BxPLhIcR2ZFQkNOuidII5-u_qZDeA_LUy-YOdd5q_czVahyYbeUo/ZYrfEyKBFIpdSnlZsL-3SUGA-tjYlwR_6rSvvPBheiQ),,https://drive.google.com/file/d/1zGh4zbjF7aaHT-o-EQQUEM7p7VHLCP3M/view,,,,,,NA
5 C.F.R. § 2601.203-.204;,Ethical Implications of Emergency Response Conf. Report,This report covers the framework for emergency responses with FEMA and HHS being main stakeholders. ,5 C.F.R. § 2601.203-.204;,Department of Defense,"Natural Disaster,Health Emergency,No triggering event - Capacity Building,Act of War,Terrorism","A pandemic or act of bioterrorism needing federal, state, and local resources can invoke the need for this report.",No,Domestic,Yes - Subject to Posse Comitatus,Regulation,Include,FEMA DOLR,4,6/1/06,,CFR-2023-title5-vol3-sec2601-204.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725645600000/A-9oVWneK6PmDyXJ3xTXQA/QYSrlXWnpu5G09psyTPupB-JWkna_ya6bhJfOLYco41XML0n8oIQfa2rYZSgYo2o8_i40wTm6r-xsDpa-BAyf0mBJl1kJmkJvn8ZtkR0YElF1EA3sOb8QO9w6Bd5_8ECulgitQX3WpnM56eoKjE87KSJhFkbK7Mkt5cJ_OD3DrBCtDRHwdyGZHrKUv2ExRqL/axIpk44ukDcmRpBCzem1Xd51UUp_Km-1Kf--z2UHdVU),,chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://www.govinfo.gov/content/pkg/CFR-2023-title5-vol3/pdf/CFR-2023-title5-vol3-sec2601-204.pdf,,,,,,NA
5 C.F.R. § 2601.203-.204;,Ethical Implications of Emergency Response Conf. Report,This report covers the framework for emergency responses with FEMA and HHS being main stakeholders. ,5 C.F.R. § 2601.203-.204;,Department of Justice,"Natural Disaster,Health Emergency,No triggering event - Capacity Building,Act of War,Terrorism","A pandemic or act of bioterrorism needing federal, state, and local resources can invoke the need for this report.",No,Domestic,Yes - Subject to Posse Comitatus,Regulation,Include,FEMA DOLR,4,6/1/06,,CFR-2023-title5-vol3-sec2601-204.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725645600000/A-9oVWneK6PmDyXJ3xTXQA/QYSrlXWnpu5G09psyTPupB-JWkna_ya6bhJfOLYco41XML0n8oIQfa2rYZSgYo2o8_i40wTm6r-xsDpa-BAyf0mBJl1kJmkJvn8ZtkR0YElF1EA3sOb8QO9w6Bd5_8ECulgitQX3WpnM56eoKjE87KSJhFkbK7Mkt5cJ_OD3DrBCtDRHwdyGZHrKUv2ExRqL/axIpk44ukDcmRpBCzem1Xd51UUp_Km-1Kf--z2UHdVU),,chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://www.govinfo.gov/content/pkg/CFR-2023-title5-vol3/pdf/CFR-2023-title5-vol3-sec2601-204.pdf,,,,,,NA
5 C.F.R. § 2601.203-.204;,Ethical Implications of Emergency Response Conf. Report,This report covers the framework for emergency responses with FEMA and HHS being main stakeholders. ,5 C.F.R. § 2601.203-.204;,Department of State,"Natural Disaster,Health Emergency,No triggering event - Capacity Building,Act of War,Terrorism","A pandemic or act of bioterrorism needing federal, state, and local resources can invoke the need for this report.",No,Domestic,Yes - Subject to Posse Comitatus,Regulation,Include,FEMA DOLR,4,6/1/06,,CFR-2023-title5-vol3-sec2601-204.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725645600000/A-9oVWneK6PmDyXJ3xTXQA/QYSrlXWnpu5G09psyTPupB-JWkna_ya6bhJfOLYco41XML0n8oIQfa2rYZSgYo2o8_i40wTm6r-xsDpa-BAyf0mBJl1kJmkJvn8ZtkR0YElF1EA3sOb8QO9w6Bd5_8ECulgitQX3WpnM56eoKjE87KSJhFkbK7Mkt5cJ_OD3DrBCtDRHwdyGZHrKUv2ExRqL/axIpk44ukDcmRpBCzem1Xd51UUp_Km-1Kf--z2UHdVU),,chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://www.govinfo.gov/content/pkg/CFR-2023-title5-vol3/pdf/CFR-2023-title5-vol3-sec2601-204.pdf,,,,,,NA
5 C.F.R. § 2601.203-.204;,Ethical Implications of Emergency Response Conf. Report,This report covers the framework for emergency responses with FEMA and HHS being main stakeholders. ,5 C.F.R. § 2601.203-.204;,Department of Homeland Security,"Natural Disaster,Health Emergency,No triggering event - Capacity Building,Act of War,Terrorism","A pandemic or act of bioterrorism needing federal, state, and local resources can invoke the need for this report.",No,Domestic,Yes - Subject to Posse Comitatus,Regulation,Include,FEMA DOLR,4,6/1/06,,CFR-2023-title5-vol3-sec2601-204.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725645600000/A-9oVWneK6PmDyXJ3xTXQA/QYSrlXWnpu5G09psyTPupB-JWkna_ya6bhJfOLYco41XML0n8oIQfa2rYZSgYo2o8_i40wTm6r-xsDpa-BAyf0mBJl1kJmkJvn8ZtkR0YElF1EA3sOb8QO9w6Bd5_8ECulgitQX3WpnM56eoKjE87KSJhFkbK7Mkt5cJ_OD3DrBCtDRHwdyGZHrKUv2ExRqL/axIpk44ukDcmRpBCzem1Xd51UUp_Km-1Kf--z2UHdVU),,chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://www.govinfo.gov/content/pkg/CFR-2023-title5-vol3/pdf/CFR-2023-title5-vol3-sec2601-204.pdf,,,,,,NA
5 C.F.R. § 2601.203-.204;,Ethical Implications of Emergency Response Conf. Report,This report covers the framework for emergency responses with FEMA and HHS being main stakeholders. ,5 C.F.R. § 2601.203-.204;,Department of the Treasury,"Natural Disaster,Health Emergency,No triggering event - Capacity Building,Act of War,Terrorism","A pandemic or act of bioterrorism needing federal, state, and local resources can invoke the need for this report.",No,Domestic,Yes - Subject to Posse Comitatus,Regulation,Include,FEMA DOLR,4,6/1/06,,CFR-2023-title5-vol3-sec2601-204.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725645600000/A-9oVWneK6PmDyXJ3xTXQA/QYSrlXWnpu5G09psyTPupB-JWkna_ya6bhJfOLYco41XML0n8oIQfa2rYZSgYo2o8_i40wTm6r-xsDpa-BAyf0mBJl1kJmkJvn8ZtkR0YElF1EA3sOb8QO9w6Bd5_8ECulgitQX3WpnM56eoKjE87KSJhFkbK7Mkt5cJ_OD3DrBCtDRHwdyGZHrKUv2ExRqL/axIpk44ukDcmRpBCzem1Xd51UUp_Km-1Kf--z2UHdVU),,chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://www.govinfo.gov/content/pkg/CFR-2023-title5-vol3/pdf/CFR-2023-title5-vol3-sec2601-204.pdf,,,,,,NA
5 C.F.R. § 2601.203-.204;,Ethical Implications of Emergency Response Conf. Report,This report covers the framework for emergency responses with FEMA and HHS being main stakeholders. ,5 C.F.R. § 2601.203-.204;,Environmental Protection Agency,"Natural Disaster,Health Emergency,No triggering event - Capacity Building,Act of War,Terrorism","A pandemic or act of bioterrorism needing federal, state, and local resources can invoke the need for this report.",No,Domestic,Yes - Subject to Posse Comitatus,Regulation,Include,FEMA DOLR,4,6/1/06,,CFR-2023-title5-vol3-sec2601-204.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725645600000/A-9oVWneK6PmDyXJ3xTXQA/QYSrlXWnpu5G09psyTPupB-JWkna_ya6bhJfOLYco41XML0n8oIQfa2rYZSgYo2o8_i40wTm6r-xsDpa-BAyf0mBJl1kJmkJvn8ZtkR0YElF1EA3sOb8QO9w6Bd5_8ECulgitQX3WpnM56eoKjE87KSJhFkbK7Mkt5cJ_OD3DrBCtDRHwdyGZHrKUv2ExRqL/axIpk44ukDcmRpBCzem1Xd51UUp_Km-1Kf--z2UHdVU),,chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://www.govinfo.gov/content/pkg/CFR-2023-title5-vol3/pdf/CFR-2023-title5-vol3-sec2601-204.pdf,,,,,,NA
